timestamp,section_id,sensor_id,raw_value,R0,GF,BF,thermal_coeff,rated_capacity_kN,temperature_C,validity_flag,converted_load_kN
2026-08-20 00:00:00,A,A1,8193.0,7000.0,0.1,1.0,0.0,200.0,24.79,VALID,119.3
2026-08-20 00:00:00,A,A2,8219.0,7000.0,0.1,1.0,0.0,200.0,25.19,VALID,121.9
2026-08-20 00:00:00,A,A3,8182.0,7000.0,0.1,1.0,0.0,200.0,24.74,VALID,118.2
2026-08-20 00:00:00,B,B1,8023.0,7000.0,0.1,1.0,0.0,200.0,24.94,VALID,102.3
2026-08-20 00:00:00,B,B2,8037.0,7000.0,0.1,1.0,0.0,200.0,24.83,VALID,103.7
2026-08-20 00:00:00,B,B3,8038.0,7000.0,0.1,1.0,0.0,200.0,25.16,VALID,103.8
2026-08-20 00:00:00,C,C1,8361.0,7000.0,0.1,1.0,0.0,200.0,25.23,VALID,136.1
2026-08-20 00:00:00,C,C2,8406.0,7000.0,0.1,1.0,0.0,200.0,24.83,VALID,140.6
2026-08-20 00:00:00,C,C3,8383.0,7000.0,0.1,1.0,0.0,200.0,24.81,VALID,138.3
2026-08-20 00:00:00,D,D1,7958.0,7000.0,0.1,1.0,0.0,200.0,24.99,VALID,95.8
2026-08-20 00:00:00,D,D2,7966.0,7000.0,0.1,1.0,0.0,200.0,24.86,VALID,96.6
2026-08-20 00:00:00,D,D3,7971.0,7000.0,0.1,1.0,0.0,200.0,24.97,VALID,97.1
2026-08-20 00:15:00,A,A1,8188.0,7000.0,0.1,1.0,0.0,200.0,25.13,VALID,118.8
2026-08-20 00:15:00,A,A2,8219.0,7000.0,0.1,1.0,0.0,200.0,25.27,VALID,121.9
2026-08-20 00:15:00,A,A3,8206.0,7000.0,0.1,1.0,0.0,200.0,25.28,VALID,120.6
2026-08-20 00:15:00,B,B1,8043.0,7000.0,0.1,1.0,0.0,200.0,25.11,VALID,104.3
2026-08-20 00:15:00,B,B2,8035.0,7000.0,0.1,1.0,0.0,200.0,25.03,VALID,103.5
2026-08-20 00:15:00,B,B3,8038.0,7000.0,0.1,1.0,0.0,200.0,25.42,VALID,103.8
2026-08-20 00:15:00,C,C1,8361.0,7000.0,0.1,1.0,0.0,200.0,25.03,VALID,136.1
2026-08-20 00:15:00,C,C2,8397.0,7000.0,0.1,1.0,0.0,200.0,25.33,VALID,139.7
2026-08-20 00:15:00,C,C3,8389.0,7000.0,0.1,1.0,0.0,200.0,25.3,VALID,138.9
2026-08-20 00:15:00,D,D1,7946.0,7000.0,0.1,1.0,0.0,200.0,25.24,VALID,94.6
2026-08-20 00:15:00,D,D2,7971.0,7000.0,0.1,1.0,0.0,200.0,25.24,VALID,97.1
2026-08-20 00:15:00,D,D3,7970.0,7000.0,0.1,1.0,0.0,200.0,25.24,VALID,97.0
2026-08-20 00:30:00,A,A1,8200.0,7000.0,0.1,1.0,0.0,200.0,25.41,VALID,120.0
2026-08-20 00:30:00,A,A2,8219.0,7000.0,0.1,1.0,0.0,200.0,25.52,VALID,121.9
2026-08-20 00:30:00,A,A3,8191.0,7000.0,0.1,1.0,0.0,200.0,25.33,VALID,119.1
2026-08-20 00:30:00,B,B1,8022.0,7000.0,0.1,1.0,0.0,200.0,25.26,VALID,102.2
2026-08-20 00:30:00,B,B2,8039.0,7000.0,0.1,1.0,0.0,200.0,25.69,VALID,103.9
2026-08-20 00:30:00,B,B3,8027.0,7000.0,0.1,1.0,0.0,200.0,25.59,VALID,102.7
2026-08-20 00:30:00,C,C1,8349.0,7000.0,0.1,1.0,0.0,200.0,25.32,VALID,134.9
2026-08-20 00:30:00,C,C2,8408.0,7000.0,0.1,1.0,0.0,200.0,25.51,VALID,140.8
2026-08-20 00:30:00,C,C3,8391.0,7000.0,0.1,1.0,0.0,200.0,25.55,VALID,139.1
2026-08-20 00:30:00,D,D1,7951.0,7000.0,0.1,1.0,0.0,200.0,25.3,VALID,95.1
2026-08-20 00:30:00,D,D2,7980.0,7000.0,0.1,1.0,0.0,200.0,25.35,VALID,98.0
2026-08-20 00:30:00,D,D3,7953.0,7000.0,0.1,1.0,0.0,200.0,25.16,VALID,95.3
2026-08-20 00:45:00,A,A1,8188.0,7000.0,0.1,1.0,0.0,200.0,25.68,VALID,118.8
2026-08-20 00:45:00,A,A2,8220.0,7000.0,0.1,1.0,0.0,200.0,25.72,VALID,122.0
2026-08-20 00:45:00,A,A3,8203.0,7000.0,0.1,1.0,0.0,200.0,25.62,VALID,120.3
2026-08-20 00:45:00,B,B1,8034.0,7000.0,0.1,1.0,0.0,200.0,25.52,VALID,103.4
2026-08-20 00:45:00,B,B2,8048.0,7000.0,0.1,1.0,0.0,200.0,25.45,VALID,104.8
2026-08-20 00:45:00,B,B3,8033.0,7000.0,0.1,1.0,0.0,200.0,25.51,VALID,103.3
2026-08-20 00:45:00,C,C1,8356.0,7000.0,0.1,1.0,0.0,200.0,25.68,VALID,135.6
2026-08-20 00:45:00,C,C2,8404.0,7000.0,0.1,1.0,0.0,200.0,25.59,VALID,140.4
2026-08-20 00:45:00,C,C3,8391.0,7000.0,0.1,1.0,0.0,200.0,25.67,VALID,139.1
2026-08-20 00:45:00,D,D1,7962.0,7000.0,0.1,1.0,0.0,200.0,25.57,VALID,96.2
2026-08-20 00:45:00,D,D2,7971.0,7000.0,0.1,1.0,0.0,200.0,25.57,VALID,97.1
2026-08-20 00:45:00,D,D3,7951.0,7000.0,0.1,1.0,0.0,200.0,25.3,VALID,95.1
